Char,Diag,wlen
Rachel," Hey Mon, let’s give Pete a chance Come on, he was funny, he seems

really nice, and that check thing was adorable.",22
Monica," As a joke, this customer at work who has a crush on me gave me a $20,000

tip. His number is on the check, he just did so I’d call him.",31
Chandler," (reading the check) Pete Becker. Pete… (quickly grabs a magazine

and opens it up to show her a picture) (pointing to the picture) Is this him?",26
Monica, Oh my God! That’s Pete! But why is Bill huggin’ Pete?,11
Chandler," This guy invented Moss 865! Every office in the world uses that

program!",13
Rachel," Oh my God, Monica’s gonna go out with a millionaire. ",10
Rachel," Oh my God, I can’t believe this is a real $20,000 check, oh this is

just so exciting.",18
Joey," Yeah, come on, think about it. You’re 18, okay, she’s 44, when

you’re 36, she’s gonna be 88.",18
Chandler," (walks out of his bedroom) All right, 

I'm gonna go play basketball.  Or at least let the really good guys use my 

ball while I say ""Can I play? Can I play?"" (opens the door and sees Joey's keys 

still in the key hole) Oh uh, Joe, you left your keys in the door.",54
Chandler," Here you go.  (Throws him his 

keys in a very feminine way and leaves. Both Ross and Joey look at each other in 

shock and Joey picks up the keys from the floor. Both Ross and Joey turn back 

around to talk to Frank.)",44
Joey," Look, the point is, there’s a lot of women out there you haven’t

even had sex with yet!",18
Ross," Yeah, he-he’s right, he’s right. This is your time y'know, yeah,

you’re young, you’re-you’re weird, chicks dig that.",18
Ross," No the man’s right, that’s what I had with Rachel.",10
Ross," Don’t ask me, I had it and I blew it!",10
Joey," I don’t know, maybe I can’t. I mean, maybe there’s

something wrong with me.",14
Phoebe," Hi! Oh, Alice, hi! Thanks. I’m so glad you could come, ‘cause

I’ve got a real umm, Home Ec emergency. (Points to the table cloth, which has a huge

mustard stain on it.)",33
Phoebe," Yeah, I know. It’s a real mustard-tastrophe. Can you help me?",11
Phoebe," Or instead, maybe you could just not marry my brother Frank.",11
Monica," You’re supposed to double the tax. Not double the tax of Romania. I

mean, what’s-what’s the deal? Are you, are you trying to buy me? Is this the way

you get girls to go out with you?",37
Monica, ‘Cause I don’t want to encourage this kind of behavior.,10
Phoebe," Okay. Whoa, sorry. Why were you just like all in the dark?",12
Phoebe," Yeah, yeah, no, I don’t, I don’t know. But, y'know what, maybe

it’s just all for the best?",18
Phoebe," Uh, well I can tell you why. It’s, it’s because of me. But,

y'know what, I only did it because I love you. Okay?",24
Phoebe," Umm, well I, I kinda had a little chat with Alice, and I sort of made

her see why you two shouldn’t be together, y'know. And you’re gonna see it to,

one day, you really, really will.",37
Joey," Yeah, uh, all right Ross, if you had a 

million dollars  what's the first thing you'd buy?",17
Ross," I'd probably get some municipal bonds, and then put the rest in 

the bank, and live off the interest.",19
Chandler, (in a feminine way) Oh my God! (and he jumps all around),12
Monica," Guys, please, I’m just gonna have dinner with him. Okay?",10
Chandler," Okay, okay, just because he buys you dinner, does not mean you owe him

anything.",15
Joey," Hey, how much cash do you got in your pocket right now?",12
Monica," And that’s why, I’m not inviting you in for a drink. (starts

to leave) Bye.",15
Monica," (in the hallway) So, where do you want to go?",10
Monica," Oh come on, it’s only fair, you paid for the flight. Now is, is

that enough lire?",17
Phoebe," Hey, Frank. Look, okay, I know that you think I did like this totally

evil thing, but I so didn’t. There’s someone here who can explain this better

than I can.",31
Phoebe," That’s right, exactly. (sees them) All right, it’s a good bye

kiss, that’s good. (Frank picks Alice up and they move to the couch) Bye-bye. (They

both lie down on the couch and start to make out.) Okay, no, the important thing is that

you see what I’m saying, y'know, just y'know, this is clearly wrong. (They ignore

her) Okay, I’ve decided I’m gonna let this happen! Okay, can I just get my

purse? (She reaches in and Alice moans) Okay, all right, good. (leaves).",85
Joey," (He’s recorded his voice on the tape) Joey’s your best friend.

You want to make him a cheese sandwich everyday. (he laughs) And you also want to buy him

hundreds of dollars worth of pants. ",35
Rachel," Hi! All right, let’s go shoppin’!!

I got a positive balance on my credit card and I want to 

use it up before Citibank goes under. ",26
Monica," Oh wow. Would it be able to recognize my 

voice (in a granny-type of voice) if I talked like this?",20
Monica," All right then. (He leans in to kiss her goodnight, but she quickly

kisses him on the cheek and pats his shoulder.) Bye.",23
Chandler," Mr. Millionaire, new from Snooty Playthings! Third wife sold

separately.",10
Monica," He’s great! I mean we have such a good time together! He’s so

funny, and sooo sweet, and I’m not attracted to him at all!!",25
Monica," Noo!! It’s driving me crazy. I mean every other way he’s like

the perfect guy, he has everything. Plus! He actually has everything.",23
Chandler, Wow!! Can Joey and I put them on and fight?,10
Joey," (entering, dancing and singing) Oh mommie, oh daddie, I am a big old

baddie! Oh mommie, oh daddie, I am a big old baddie! (He dances around the dinner table

and exits)",32
Ross, I guess he musta gotten the part in that play.,10
Chandler," Yeah, either that, or Gloria Estefan was right, eventually, the rhythm

is going to get you.",16
Joey," Good. (He sets his stuff down and starts talking to Kate, another cast

member.) Hey.",15
Joey," Oh, no. Ah, I playing your husband, Victor. I’m Joey Tribianni.",11
Joey," Dr. Drake Ramorey. Days of Our Lives. Voted most datable

neurosurgeon by Teen Beat.",14
Joey," See, I actually can pour milk, but I got you believing that I

couldn’t. Now, see, that’s acting.",18
Rachel," Well, I told him I would think about it, but I’m gonna tell him no.",15
Rachel," I mean I think I’d say no to anybody right now. (Hearing this

Gunther swoops back to cleaning tables.) Oh, but it was so strange. I mean I’m

standing there with this charming, cute guy, who’s asking me to go out with him,

which I’m allowed to do, and I felt guilty. Y'know, like I’d be cheating on Ross

or something.",61
Phoebe," Wow. So, okay, maybe that means that, you’re not over Ross yet and

you have issues with your father.",19
Joey," I hate this woman!! I hate her! She told everyone in the company 

about that infomercial, and now they all keep asking me to open their drinks. Okay, and

whenever I can’t do it, they’re all like-like laughing at me.",40
Ross, So Rachel called. Wants to see me. Going over in a minute.,12
Ross," Well, maybe the crazy fog has lifted and she realizes that life without

me.... a-sucks.",15
Chandler," It’s possible. You are very loveable, I’d miss you if I

broke up with you. (Ross glares at him) I was just trying to be supportive.",26
Chandler," (in a deep voice) If I broke up with you, I’d miss you.",13
Rachel," Yeah. Ahh, here’s a box of your stuff. (hands him a box)",12
Rachel," Oh, y'know, it’s just like hats, and a shirt, and CD’s, just

sort of stuff that you’ve left here.",19
Ross, What are you doing? Are you trying to hurt me? Or something?,12
Rachel," No. Ross, it, it just seems that y'know it’s time we-we y'know,

move on. I mean, I mean don’t’ you think?",21
Ross," Yeah, I-I really do. (takes a dinosaur mug out of the box) Hey! This-this

was a gift?!",17
Rachel," Ross, you got that for free from the museum gift shop.",11
Ross, It’s still a gift! I got it from the gift shop!,11
Rachel," Okay, all right, give me the mug! I’ll keep the mug.",11
Ross," No!! Y'know-y'know don’t do me any favors. In fact, where,

where’s the rest of my stuff?! Huh? Like-like my umm, (picks up a book) Hey, this

book is mine!! And-and-and, and that T-shirt you sleep in? I’d like that back too.

Yes, I do.",44
Rachel," You know how much I love that T-shirt! You never even where that

T-shirt!",14
Rachel," Oh, you are a petty man. You are a petty, petty....",11
Ross," Small... (Rachel comes back into the living room and catches Ross mocking

her.)",13
Ross," I’m-I’m gonna wear this all the time! I love this shirt!! (he

kisses the shirt)",15
Rachel," You have not worn that T-shirt since you were 15!! It doesn’t even

fit you anymore!",16
Ross," Oh-oh, okay, okay! (He quickly takes off his sweater in order to put on

the T-shirt. It’s an old ‘Frankie says relax’ T-shirt, that barely fits

him. Rachel nods her head in approval of the new look.) If you don’t mind I’m

gonna the rest of my stuff, and relax, in my favorite shirt. (Starts to leave) You have a

pleasant evening. (He exits and leaves the door open.)",69
Phoebe," Y'know what, you should like, you should buy a state and then just name

it after yourself.",17
Monica," Absolutely! (He goes to kiss her, but she stops him and rubs his head

and says...) Now get out of here you!! (Pete leaves) (to the gang) Okay, I’m running

out of places I can touch him! Look, is there something wrong with me? I mean why am I

only attracted to guys where there’s no future? Either they’re too old, or

they’re too young, or they're a big misogynist jerk 

like Julio. Who, by the way, I'm still attracted to. And then there’s Pete who’s-who’s crazy about me,

and who’s absolutely perfect for me, and there’s like zip going on! I mean,

seriously, does it sound like something’s wrong with me?!",112
Joey," Well, why don’t you tell me what you’re supposed to be! Huh?

Because I sure as hell can’t figure it out! I talk to you and nothin’. You look

at me, and it’s nothin’. (He kisses her) Nothing.",38
Joey," Oh, hey, how about this one. Ah, it’s says so in the script! Y'know

ah, I-I don’t know why my character likes you either, I mean it says in the script

here that you’re a bitch.",36
Chandler," I can blow dry it. I can put gel on it. It doesn’t matter, I

still wind up with this little (pats the flat spot on the back of his head) cowlicky thing

on the middle part of my head. It’s so annoying. Does it bug you?",47
Chandler," Ross! You gotta stop! Okay?! You can’t just stare through the

peep hole for three hours! You’re gonna get peep eye!",21
Ross," I knew it! I knew it! I always knew she liked him! Y'know, she’d say

no, but here we are! Right? We just broke up, first thing she does!",29
Chandler," You slept with somebody three hours after you thought you broke up. I

mean bullets have left guns slower!",19
Ross," Here they come, here they come. Oh-ho, if she kisses him goodnight,

I’m gonna kill myself, I swear. I can’t, I can’t watch this. (turns away,

then quickly turns to look again) Come on, date over! Date over! Uh-oh, here we go,

she’s going in.",45
Ross," She’s going in. Wait! He’s going in! He’s going in!! The

door’s closed! I, I can’t see anything but the door closed!!",22
Chandler, And the inventor of the door rests happily in his grave.,11
Ross," Okay, I have to do something. I mean, I have, I have to stop it!",15
Ross," I don’t know, but I ah, I have the feeling that my being there 

will do it. Look, this guy is bad news, Chandler. I can 

sense he's an operator. ",30
Chandler," Rachel wouldn't date an operator.  

They only make 20 grand a year and they have to work nights.  (Ross looks 

like he is about to punch Chandler.)",27
Ross, I’ll go over and I will borrow something. Juice!! I need juice!!,12
Chandler," I am your friend, and I am not gonna let you do this!!

(Ross is now dragging Chandler and the foosball table to the door) You are surprisingly

strong!",29
Chandler," Listen to me!! (Chandler turns him around and closes and holds the

door shut with his feet.) ",17
Chandler," She’s moving on! Okay, if it’s not this guy, it’s gonna

be somebody else! And unless you’re thinking about subletting my peep hole, you

are going to have to get used to the fact that the relationship is over! Okay, man?

It’s over.",43
Chandler," I know. (He rubs Ross’s head and 

steps down) I know.   Is it me, or did 

""subletting my peephole"" sound kind of dirty? (Ross thinks about it.)",27
Rachel," Oh. That’s so Monica can keep track. That way if one on them is

missing, she can be like, ‘Where’s number 27?!’",22
Rachel," Well, oh, Mark, I’m doing this for the wrong reasons, y'know?

I’m just doing it to get back at Ross. I’m sorry, it’s not very fair to

you.",28
Monica," (looks around) Well, with all these doctors and nurses, I’m gonna

say, midget rodeo.",14
Monica," Okay. Umm, y'know, I don’t think, I don’t think I told you

this, but umm, I just got out of a really serious relationship.",24
Monica," So I did tell you. Okay, y'know, that really isn’t the thing. Umm,

the thing is that, right now I’m just in a place in my life where I need to focus on

me. Y'know what I mean?",38
Monica," Well, um, look I-I don’t want this to come our wrong, but ah, you

seem awfully confident for a guy I just told I wasn’t attracted too.",27
Chandler," I don’t think this town is big enough for both of us to relax in.

(He blows on his hand) Draw!! (He quickly pulls the lever to raise the foot rest, like a

gunfighter in a Western.) ",37
Chandler," (to Joey) I wasn’t doing anything. (Joey starts angrily throwing

his stuff down.) Uh-oh, what did she do now?",19
Joey," Just because she went to Yale drama, she thinks she’s like the

greatest actress since, since, sliced bread!",18
Joey," God, I just, I hate her! I hate her!! With her, ‘Oh, I’m so

talented.’ and ‘Oh, I’m so pretty,’ and ‘Ooh, I smell so

good.’",26
Joey," Hey, Chandler, can we please stay focused on my problem here?! Y'know?",12
Chandler," Hey, you have nothing but talk about her for the last 48 hours! If you

were in a school yard you’d be pulling her pigtails and pushing her down now!",30
Joey," Oh, yeah?! Then how come I keep thinking about her in all these sexual

scenarios and stuff huh?!",18
Joey," Well, why don’t you tell me what you’re supposed to be! Huh?

Because I sure as hell can’t figure it out! I talk to you and it’s nothin’.

You look at me, and nothin’. (He kisses her, more passionately this time) Nothing.",42
Phoebe," (to Chandler) Hey! (Chandler looks up, startled) Why isn’t it

Spiderman? Y’know like Goldman, Silverman...",15
Chandler," No, it’s not like, like Phil Spiderman. He’s a spider, man.

Y'know like ah, like Goldman is a last name, but there’s no Gold Man.",25
Rachel," Oh, great. Although I did sit down where there wasn’t a chair.",12
Monica," By the way, Ross dropped by a box of your stuff.",11
Rachel," Oh, well, I guess I had that one coming. I’m just gonna throw it

out, it’s probably just a bunch of shampoo and... (she opens the box and stops)",29
Rachel," (She takes the T-shirt out of the box and holds it to her chest and take

a deep breath.) No. Nothing. (She smiles and goes into her room.)",28
Chandler," So, ahh, what kind of powers would Gold Man have?",10
Phoebe," Ahh, his work is done.  Okay, I 

have a friend, Jimmy Tupperman, what would his powers be?",17
Chandler," Tupper Man!  He would keep 

criminals fresh until the police came. Okay, let’s play my game now.",17
Phoebe," Okay. All right you yellow-bellied-lilly-livered-DRAW!! (they both kick

up the foot rests like an old fashioned gun fight.)",18
Chandler," Wait a minute, wait. You’re telling me this actress person is the

only woman you ever wanted who didn’t want you back?!",22
Joey, Yeah! Oh my God! (to Chandler) Is this what it’s like to be you?,14
Joey," Oh, you have no idea. And-and when we’re on stage I get to-to kiss

her and-and touch her, but then she goes home with the director, and it’s like

somebody’s ripping out my heart!",34
Phoebe," Oh, it’s so great to see you feeling like this!",10
Ross," Monica, uh Dad called this morning and ah, Aunt Silvia passed away.",12
Phoebe," Wait, am I missing something though? ‘Cause I thought death was

something that’s supposed to be sad, in a way.",20
Ross," Well ah, Aunt Silvia was, well not a nice person.",10
Monica," Oh, she was a cruel, cranky, old bitch! (Ross gives her a look) (to

Ross) And I’m sorry she died. Did Dad say I get the dollhouse?",27
Phoebe," Wow, a house for dolls, that is so cool! When I was kid, I had a barrel.",17
Monica," Any time you want. Y'know, when I was younger, all I wanted to do was to

play with this dollhouse, but no!! It was to be looked at, but never played with.",32
Chandler," My Grandmother used to say that exact same thing to me. 

(They all look at him.)  More of a bathtub-type of 

situation.",22
Ross," Now Monica, she did give you one chance.  

She told Monica she could play with the dollhouse if she lost 20 pounds.",22
Monica," (looks up) Yeah, well, look who's losing 

weight now, Aunt Sylvia. ",11
Rachel," Thanks for lunch, Chandler. Y'know, you didn’t have to walk me all

the way back up here.",17
Chandler," Oh, that’s-that’s okay, no problem. (He starts to look

around her office.)",12
Rachel," Honey um, honey, you do realize that we don’t keep the women’s

lingerie here in the office?",17
Rachel," (introduces them) Joanna, this is my friend Chandler Bing (to Chandler)

Joanna.",12
Chandler," Thanks, it’s ah, Gaelic, for ‘Thy turkey’s done.’

So ah, I’m gonna go, nice, nice meeting you.",17
Rachel," Oh, nothing, he’s just goofy like that, I actually, hardly notice

it anymore.",13
Rachel," Well, I’ll ask him for you, if you want me too?",11
Monica," Look at it! Ohhh! Wallpaper’s a little faded, that’s okay.

Carpet’s a little loose. Hardwood floors!!",16
Phoebe," I brought a bunch of stuff for the house, so check it out. Ha-ha. (She

removes this large ceramic dog that comes up to the second floor and places it next to the

house.)",34
Phoebe," Well, maybe it’s so big because the house was built on radioactive

waste.",13
Chandler, (holding a tissue) And is this in case the house sneezes?,11
Phoebe," Well, nobody wants a ghost. But you’ve got one, because the house

is sitting on an ancient Indian burial ground.",20
Ross," Wait a minute, the house was built on radioactive waste, and an ancient

Indian burial ground? That would never happen.",20
Phoebe," Okay, obviously you don’t know much about the U.S. government.",10
Chandler," Oh, I'm glad you guys are past that little awkward phase.",11
Rachel," Okay, my boss, Joanna, when you left, she started asking questions about

you...",13
Chandler," Oh-ho, liked what she saw, huh? Dug my action, did she? Checkin’

out the Chan-Chan man!",16
Rachel," (looks at him) That was (pause) surreal. Okay, what do think? Are you

interested at all?",16
Rachel," Oh thank you, Chandler, this is so great, she’s gonna love me.",12
Phoebe," (holding a dinosaur) Okay, dinosaur attack!! Quick, everybody into the

house!! Ahh-ahh! (the dinosaur starts attacking the house. She starts to bark like a dog.)

Roof! Rrroof-roof-roof!",27
Monica," Okay, Phoebe, y'know what? That-that’s it, that’s it, all

right? No dinosaurs, no ghosts, no giant dogs, okay? They’re not the right size,

they’re not Victorian, and they just don’t go.",31
Phoebe," Okay, (starts to pack up her stuff) fine. Come dinosaur, we’re not

welcome in the house of no imagination.",19
Ross," Uh, Pheebs, while we’re hovering around the subject. I just have to

say dinosaurs, they-they don’t go, rrroof!",18
Joey," Listen, I ah, went to that restaurant that you were talking about last

week...",14
Joey," (to himself) And I ate the food, I had the fish, it was good, yeah. It was

good, yeah...",19
Joey," Well Ahh, (he sees Kate and the director kissing) yeah! Yeah, sure, a

drink sounds great.",16
Ross," (to Monica) Y'know if you wanna make the 

boys' bathroom realistic you're gonna have to put some teeny, tiny porno 

magazines behind the toilet. ",24
Phoebe," Look, look! (She lifts up the roof, and the front panel falls revealing

the interior.)",15
Phoebe," Oh, okay, it’s the slide instead of stairs. Watch this. (She slides

a doll down the slide)",17
Phoebe," The Licorice Room, you can eat all the furniture. And, when guests come

over, they can stay on the tootsie roll-away bed.",22
Phoebe," Hey, does anybody want to join me in the aroma room? (lights some

incense)",14
Monica," Hey, guys, guys, did you see my new, china cabinet?!",10
Phoebe," Watch, watch. (She turns a strand of Christmas lights strung around the

house.)",13
Rachel," (to Chandler) O-o-o-okay, how did it go? Tell me everything.",10
Chandler," Well, the movie was great, dinner was great, and there’s nothing

like a cool, crisp New York evening. ",18
Chandler," Of course, I didn’t get to enjoy any of that, because

Joanna’s such a big, dull dud!",17
Joey," Come on baby, don’t go. Please? What do you say?",10
Joey, (to Kate) That guy’s like a cartoon. What do you see in him anyway?,14
Joey," Hey, I’m not interested in her sweater! It’s what’s

underneath her sweater that counts. And besides, since ah, since when do you care who

I’m going out with?",28
Joey," Come on baby, don’t go. Please? What do you say?",10
Joey," Oh, yeah, with the mug painting. Yeah. I was so listening to that. But ah,

y'know what, I think I kinda need to work on my stuff tonight.",28
Joey," Yeah, yeah, and then Adrianne, she maybe she could wrap her legs around his

waist.",15
Joey," And then, then he could use his teeth, his teeth to undo her dress, and,

and, and bite her!",19
Joey," Oh, it was so amazing. After the (pause) love making...",10
Joey," Yep. I just, I just watched her sleep for like hours, just breathing in

and breathing out. And then I knew she was dreaming ‘cause, ‘cause her eyes keep

going like this. (He closes his eyes and moves them around, kinda like he’s been

processed by the devil, or something.)",50
Chandler," (entering with Rachel) I’m telling ya, Joanna’s got it all

wrong. Okay? All I said was, ‘This was fun. Let’s do it again sometime.

I’ll give you a call.’",29
Rachel," Ohh, gee. I wonder why she thinks you’re going to call her?",12
Chandler, That’s what you say at the end of a date.,10
Rachel," You can’t just say, ‘Nice to meet you, good night?’",10
Joey," (with a big smile on his face) I'm so 

happy!",10
Chandler," Look it’s the end of the date, I’m standing

there, I know all she’s waiting for is for me to say ‘I’ll call her’

and it’s just y'know, comes out. I can’t help it, it’s a compulsion.",37
Monica," Come on Rach, when a guy says he’s going to call, it doesn’t

mean he’s going to call. Hasn’t it ever happened to you?",24
Rachel," Okay, okay. Umm, well ah, maybe he, maybe he feels awkward because you

are my boss.",16
Rachel, (grabbing the magazine out of his hands) Call her! Call her now!,12
Rachel," Why hasn’t he called Rachel? Why? Why? I don’t understand.

Why? He said he’ll call. Why? Why? Chandler I’m telling you she has flipped out,

she’s gone crazy!",28
Rachel," Come on, this isn’t funny. She thinks it’s my fault that you

haven’t called her. You have to call her!",20
Chandler," Look, you can’t call somebody after this long just to say,

‘In case you didn’t notice, I don’t like you!’",20
Rachel, Well then you’re going to have to take her out again.,11
Chandler," Nooo!! She’s really dull! And she gets this gross mascara goop

thing in the corner of her eye!",18
Rachel," I don’t care! I don’t care! You are going to have to take her

out again and end it, and end it in way that she knows it’s actually ended. And, I

don’t care how hard it is for you, do not tell her that you will call her again!",50
Chandler," All right! Fine! But it’s just a lunch date, no more than an

hour! And from now on I get my own dates, I don’t want you setting me up with anybody

ever again!",34
Joey," So I ah, talked to Lauren, kinda told her how things were with us. Did you

ah, did you talk to Marshall?",22
Joey," What are you talking about? It was a big deal. I mean, come on you

can’t tell me last night didn’t mean something to you. I-I was there,

you’re not that good an actress.",34
Monica," Oh, that’s okay. By the way, I was just checking the shower

massager.",13
Monica," (runs over to her) I tried to reach you at work. There’s....been a

fire.",14
Phoebe," What?! Oh my... (sees the remains of the house) Oh my God!! What

happened?!",14
Ross," Well, we believe it originated here. (He uses a pointer and points to the

point of origin.) In the Aroma Room.",21
Phoebe," Ohh. What is this? (She sees a tissue covering something, and moves to

remove it.)",15
Ross," No Phoebe, don’t look! You don’t want to see what’s under

there!!",12
Phoebe," (She pauses to ready herself, and removes the tissue.) Ohh, the-the

Foster puppets! ",13
Chandler," It’s not a big deal. It’s, just it’s right here,

(points to his eye) and it’s all the time.",19
Chandler," (He looks over at Rachel, who nods her head) Yes, this, this was

pleasant.",14
Chandler," Well, this was great. I’ll give you a call. We should do it again

sometime. (Rachel is disappointed) ",18
Chandler," Look, I’m sorry. Okay? I’m weak, and pathetic, and sorry.",10
Rachel," Okay, you are going to tell her and you’re going to tell her now.

(She grabs his nipple and starts to twist it.)",23
Chandler," I’m sorry. I’m-I’m-I’m sorry that I said I was

going to when I’m not. It's just that I was trying to 

be nice and you don't deserve that.",28
Chandler," Look, this has nothing to do with you, y'know? And this

isn’t Rachel’s fault. It’s me. I have serious, serious problems when it

comes to women. I have issues with commitment, intimacy, (pause) mascara goop. And

I’m really sorry, it’s just that this is not, this isn’t going to work out.",51
Chandler," Well this is great! I’ll give you a call! We should do it again

sometime!",15
Joey," (on phone) Well, so anyway Beth, what I’m saying is I should’ve

considered your feelings before I went home with you that night. I’ve ah, I’ve

recently learned what’s it like to be on your side of it, and I’m sorry. So, do

you think you can forgive me? (listens) Great. Thanks. Okay, bye. (He sits down and

crosses out something, and dials the phone again.) Hello, Jennifer? (listens) Oh hi, Mrs.

Loreo, is Jennifer there? (listens) Oh, she’s not home huh? (listens) Well ah,

actually I kinda need to talk to you too.",94
Rachel, So who’s idea was it to put everybody in the diner on skates?,13
Monica," Oh, some idiot customer put a suggestion in the suggestion box.",11
Phoebe," Yeah! Okay, here you go. (rolls her back to Rachel)",10
Joey," (leaving Central Perk and seeing Monica laying on top of Rachel who is

moaning in pain.) Oh my.",18
Joey, Hey. Y'know with that goatee you kinda look like Satan.,10
Chandler," Oh, so that’s why the priest threw holy water on me.

(there’s no reaction from Joey) Okay, listen, you have to cheer up! Okay? You

should come out with Ross and me, I mean anything is better than sitting around here

crying all day about Kate.",46
Joey," Hey I was crying because, because nobody believed Quincy’s theory.

Okay?",11
Ross," Yeah! They’re putting together this panel to talk about these fossils

they just found in Peru and The Discovery Channel’s gonna film it!",23
Chandler, Thanks. (He takes off the vest and throws it on the floor.),12
Joey," (on phone) Yeah, hi. You guys got any of those baby chicks? ‘Cause I

was watching this ah, commercial on TV and man, those guys are cute!",27
Monica," Hi! Hey, Pete you’re back! Hey, check this out. (She starts to

skate over to him)",16
Monica," Wow! You’re a lot sturdier that Chandler. He crumpled like a piece

of paper. So how was you’re trip?",19
Monica," Oh, what’d ya bring me?! (She opens the gift) Awww, hotel

toiletries from Japan. Oh, these are gonna go in my permanent collection.",23
Rachel, What a jerk! You want me to kick his ass?,10
Monica," I mean this has been like my dream since I got my first Easy Bake Oven

and opened Easy Monica’s Bakery. I mean I would kill for this job. I mean I can

totally do this job, and God knows I paid my dues. (She removes her fake breasts) But

Pete’s just doing this because he has a crush on me.",61
Monica," Hmm, no. I mean how can I accept a restaurant from him? I-I-I-I

can’t. I couldn’t even accept a necklace from Stu Vincent in the seventh grade.",27
Rachel," Yeah, but Mon that’s totally different. He was you’re health

teacher.",11
Rachel," Oh, I am, my side still hurts from when you crashed into me yesterday.",14
Ross," (entering, wearing a white suit with a little red bow tie) Hey, you guys!

Guess what?",16
Rachel, (looking at the outfit) Got a job on a river boat?,11
Ross," Y'know what I didn’t wear this suit for a year because you hated it.

Well, guess what? You’re not my girlfriend anymore so...",23
Rachel," Oh I see, so this suit is making a point.",10
Rachel," Now that you’re on you’re own, you’re free to look as

stupid as you like.",15
Monica," Oh absolutely. I like it even more on you than I did on Colonel Sanders.

(Ross starts to leave) Ross! Ross! I’m kidding!",23
Rachel," Oh, c'mon, you kidding? Don't you remember when you used to 

wear that  gray sweat suit? And I used to call you the Hindenburg?",24
Chandler," So um, after you put the suggestion in the box, how long did it take

for the roller skating thing to happen.",22
Chandler," Okay, so I guess that’s about ah, two weeks before the topless

thing kicks in.",15
Chandler, Okay. (He opens it and it’s a baby chick) It’s a chicken.,12
Phoebe," Okay, well they are a huge responsibility, especially at this age. They

require constant care. They-they need just the right food, and lot’s and lot’s

of love.",27
Joey," Oh, well no problem there. (He picks up the chick, hugs it really tight,

and talks to it like it’s a little baby.)",23
Monica," I can’t do it. I’m sorry, I wish I could, but umm, see you

have these feelings for me....",19
Monica," Oh, that’s great! I mean I’m-I’m sorry, but I’m so

happy for you. And now I can work for you!",20
Monica," Oh my God! Oh, this is incredible! Ohh! (she rolls over and kisses him

on the cheek) All right, y'know what? I’m just gonna roll right into that office

and-and quit!",31
Monica, Okay. (she gets ready to go) Can you give me a little push?,13
Monica," (rolling towards the office) I’m quitting!! Woo-hoo! (She rolls

through a doorway and out of sight. We then hear a big crash, and see Monica roll past the

door the other way.) I’m okay!! I’m all right!!",37
Phoebe," (to Pete) Wow! That’s exciting, you went to Japan, made up a woman.",13
Phoebe," I’m just saying, this woman, I mean she’s fictitious. No?",10
Phoebe," ‘Cause you’re still into Monica. So you told her there was

somebody else so she would agree to work with you, so ‘cause you figure oh if you

spent a lot of time together, maybe something might happen, and...",39
Phoebe," Yeah, no, I’m fairly intuitive and psychic. It’s a substantial

gift.",11
Phoebe," No I’m serious. I mean I’m intuitive, but my memory sucks.",11
Chandler," Okay, but this is the last time. (singing) With a chick-chick here,

and a chick-chick there. Here a chick, there a chick, everywhere a chick-chick-(Joey

enters)-chickeeeen.",26
Chandler," I don’t know. (He picks the chick up and turns it over, trying to

determine the sex of the chick, and blows on it.) I can’t tell, what ever it was went

back in too quickly.",36
Joey," Well, anyway, I got to go change, I’m ah, meeting some of the cast

for drinks.",16
Chandler," I stayed home from work today while you were at rehearsal so somebody

could be here with our chick!",19
Joey," Hey! Who was up from 2 o’clock this morning until 5 o’clock this

morning trying to get her back to sleep?",21
Chandler, You don’t think I get up when you get up?,10
Chandler," Yes, here it comes! I’m stuck here all day, and then you come in

and spend two seconds with us and then expect to go off gallivanting with your friends?

Well I don’t think so mister!",36
Joey, Hey!! I need to relax! Okay? I was working all day!,11
Chandler, And you don’t think taking care of our chick is work?,11
Chandler," I know what you meant!! (pause) You notice that ever since we got this

chick, we’ve been fighting a lot more than we used too?",25
Joey," I don’t know, maybe we weren’t ready to have a chick.",11
Ross," (sees the chick) Ohhh, hey!

 I can't believe you still have that.",12
Ross," All right, listen, I-I have that TV thing in

like two hours, and I need your help, okay? What do you think? (takes out two suits) This

blue suit, or this brown one?",33
Joey," Well, the brown one brings out your eyes, but your butt looks great in the

blue one.",17
Ross, Really? (Joey gives him a ‘Like I would know’ look),10
Rachel," (she reaches for the bottle) Oww! (She grabs the bottle, but has trouble

opening it. She pops the top off and aspirins fly all over the place as Ross enters.)",30
Rachel, (She bends over to try and pick up the aspirin) Oww!,11
Rachel," Look, I’m fine. Watch. (She picks up an aspirin between her toes)

Look at that. (She lifts her leg to grab the aspirin with her hand and almost falls over.)

Whoa-whoa!",31
Ross," (stopping her from falling) Okay, okay. Look, you have got to go to a

doctor! Okay?",16
Rachel," No. I have got to get ready and go to a dinner at my boss's

house. It’s a very big deal, there’s a lot of people there I have to meet.",31
Ross," And I’m sure you’re gonna make a big impression. Hi! I’m

Rachel Green. It’s nice to meet you. (He lifts his leg and imitates shaking hands

with it, just like how Rachel was trying to pick up the aspirin with her feet.) Come on,

you probably have a broken rib!",50
Rachel," Well, I will go to the hospital tomorrow, it’ll still be broken

then.",13
Rachel," (with a hurt expression on her face) Okay, but before you go, could you

help me first?",17
